rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,-4,-2,corner_like,135,2.831631,0.382516,0.000000,0.000000,3.214147
1,7,3,-2,corner_like,72,2.697826,0.145340,0.000000,0.000000,2.843166
2,-9,-10,10,planar,26,2.636636,0.178177,0.000000,0.000000,2.814813
3,5,-5,-2,volumetric,88,2.625971,0.054672,0.000000,0.000000,2.680643
4,-6,-10,10,planar,38,2.536938,0.064845,0.000000,0.000000,2.601783
5,-8,-10,10,planar,36,2.501399,0.017282,0.000000,0.000000,2.518680
6,-9,12,10,planar,17,2.028340,0.462447,0.000000,0.000000,2.490787
7,5,-3,-2,corner_like,138,2.414975,-0.089498,0.000000,0.000000,2.325477
8,6,18,1,planar,21,2.228395,0.082277,0.000000,0.000000,2.310672
9,-10,5,10,planar,29,2.475242,-0.219122,0.000000,0.000000,2.256120
10,-11,4,10,planar,35,2.121766,0.124348,0.000000,0.000000,2.246115
11,3,-6,5,planar,54,2.248237,-0.101533,0.000000,0.000000,2.146703
12,6,-4,-2,planar,41,2.101778,0.025073,0.000000,0.000000,2.126852
13,6,-13,0,planar,23,1.874387,0.200259,0.000000,0.000000,2.074646
14,-2,14,8,planar,38,1.707357,0.230336,0.000000,0.000000,1.937692
15,-8,11,10,planar,20,1.775752,0.125891,0.000000,0.000000,1.901643
16,3,-9,5,planar,28,1.800962,0.001703,0.000000,0.000000,1.802665
17,4,-9,5,planar,26,2.010481,-0.229642,0.000000,0.000000,1.780839
18,5,-1,-1,corner_like,240,1.981447,-0.227377,0.000000,0.000000,1.754070
19,3,-5,5,planar,58,1.911535,-0.167736,0.000000,0.000000,1.743799
20,-10,4,10,planar,34,1.682239,0.042690,0.000000,0.000000,1.724930
21,3,-10,5,planar,44,1.917134,-0.245830,0.000000,0.000000,1.671304
22,7,-4,2,planar,70,2.043184,-0.377107,0.000000,0.000000,1.666077
23,6,-13,-1,planar,24,1.492863,0.133578,0.000000,0.000000,1.626441
24,-5,-10,10,planar,39,1.711591,-0.155780,0.000000,0.000000,1.555811
25,8,13,-1,planar,25,1.833951,-0.322428,0.000000,0.000000,1.511523
26,-12,4,10,planar,32,1.569191,-0.074581,0.000000,0.000000,1.494611
27,6,17,0,planar,23,1.825062,-0.368434,0.000000,0.000000,1.456627
28,-7,8,10,planar,24,1.911096,-0.483038,0.000000,0.000000,1.428058
29,-7,11,10,linear,15,1.555266,-0.192208,0.000000,0.000000,1.363059
30,4,-8,5,planar,41,1.639161,-0.281825,0.000000,0.000000,1.357336
31,-4,10,10,planar,41,1.568934,-0.240876,0.000000,0.000000,1.328057
32,3,-8,5,planar,42,1.500004,-0.218163,0.000000,0.000000,1.281841
33,-12,8,10,planar,18,1.476666,-0.202954,0.000000,0.000000,1.273711
34,4,-13,5,planar,28,1.933198,-0.661584,0.000000,0.000000,1.271614
35,-13,5,10,planar,23,1.535336,-0.300857,0.000000,0.000000,1.234479
36,7,-2,2,planar,45,1.643252,-0.436211,0.000000,0.000000,1.207041
37,-11,3,10,planar,45,1.075359,0.078604,0.000000,0.000000,1.153963
38,-7,13,10,planar,16,1.715979,-0.570358,0.000000,0.000000,1.145621
39,1,-10,5,corner_like,91,1.444110,-0.309112,0.000000,0.000000,1.134997
