rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,-4,-2,corner_like,135,2.831631,0.382516,1.432588,0.282094,4.364641
1,7,3,-2,corner_like,72,2.697826,0.145340,1.736315,0.248404,4.331077
2,5,-5,-2,volumetric,88,2.625971,0.054672,1.059546,0.110980,3.629209
3,5,-3,-2,corner_like,138,2.414975,-0.089498,1.377590,0.293579,3.409488
4,5,-1,-1,corner_like,240,1.981447,-0.227377,1.723060,0.163525,3.313604
5,2,0,-2,corner_like,1132,1.359549,-0.435658,1.881114,0.108046,2.696959
6,7,-2,5,corner_like,80,1.424026,-0.381286,1.791295,0.177323,2.656712
7,7,-16,2,corner_like,44,0.867546,-0.167356,1.830652,0.103266,2.427575
8,-4,14,8,corner_like,28,0.647380,-0.029001,1.679552,0.130020,2.167910
9,1,-10,5,corner_like,91,1.444110,-0.309112,1.214760,0.335159,2.014598
10,5,1,5,corner_like,15,0.933009,-0.326631,1.507178,0.211306,1.902250
11,8,3,-1,corner_like,153,0.744971,-0.196494,1.544847,0.206515,1.886809
12,3,-7,5,corner_like,25,0.830991,-0.505443,1.635964,0.142387,1.819126
13,2,-1,-2,corner_like,1069,0.355202,-0.082191,1.604064,0.157436,1.719639
14,7,6,5,corner_like,23,-0.345107,0.127484,1.780284,0.261347,1.301314
15,4,-7,5,corner_like,41,0.305865,0.004037,1.256291,0.331435,1.234758
16,7,-2,3,corner_like,85,-0.773455,-0.063883,1.868159,0.111460,0.919361
17,7,-6,3,corner_like,45,-0.929998,0.532952,1.442713,0.245155,0.800512
18,7,-1,1,corner_like,118,-0.260107,0.247053,1.125936,0.414362,0.698520
19,8,2,-1,corner_like,178,0.105453,-0.098423,1.071285,0.456495,0.621820
20,6,18,-2,corner_like,29,-1.056628,0.455387,1.437549,0.293076,0.543231
21,7,-3,3,corner_like,71,-0.954244,-0.030819,1.474905,0.207186,0.282655
22,5,-2,-2,corner_like,99,-1.939042,0.367516,1.928351,0.205066,0.151759
23,-6,-10,10,planar,38,2.536938,0.064845,-1.871027,0.678462,0.052294
24,-8,-10,10,planar,36,2.501399,0.017282,-1.849696,0.751053,-0.082069
25,3,-6,5,planar,54,2.248237,-0.101533,-1.686768,0.673907,-0.213971
26,6,-4,-2,planar,41,2.101778,0.025073,-1.579736,0.784180,-0.237064
27,7,2,5,corner_like,65,-2.003504,0.381899,1.723063,0.342261,-0.240803
28,-7,11,10,linear,15,1.555266,-0.192208,-0.758954,0.894556,-0.290452
29,8,2,-2,corner_like,111,-2.253107,0.346835,1.688437,0.186128,-0.403964
30,7,2,3,corner_like,33,-3.144906,0.752110,1.965809,0.139817,-0.566804
31,-9,12,10,planar,17,2.028340,0.462447,-2.047921,1.117353,-0.674487
32,7,-11,2,corner_like,31,-3.703532,1.228568,1.888258,0.149291,-0.735996
33,-9,-10,10,planar,26,2.636636,0.178177,-2.222354,1.343274,-0.750816
34,5,5,5,linear,15,0.872617,-0.229432,-0.562826,0.832849,-0.752490
35,-1,-10,6,linear,28,1.245557,-0.489454,-0.683434,0.873746,-0.801077
36,6,18,1,planar,21,2.228395,0.082277,-2.067090,1.065929,-0.822347
37,6,-8,-2,linear,21,0.755379,-0.148326,-0.557172,0.899991,-0.850110
38,-11,4,10,planar,35,2.121766,0.124348,-2.008968,1.108779,-0.871633
39,4,-9,5,planar,26,2.010481,-0.229642,-1.770630,0.901061,-0.890852
40,15,-1,-1,linear,18,0.361218,0.047934,-0.562392,0.833181,-0.986421
41,-8,11,10,planar,20,1.775752,0.125891,-1.825828,1.116246,-1.040431
42,7,-4,2,planar,70,2.043184,-0.377107,-1.697058,1.028696,-1.059677
43,4,-8,5,planar,41,1.639161,-0.281825,-1.837187,0.818738,-1.298589
44,4,-13,5,planar,28,1.933198,-0.661584,-1.665759,0.925868,-1.320013
45,-5,-10,10,planar,39,1.711591,-0.155780,-1.828256,1.101613,-1.374059
46,-10,-9,10,linear,16,0.089544,-0.087160,-0.558985,0.899958,-1.456558
47,7,-9,-2,linear,28,0.325785,-0.300977,-0.627809,0.899998,-1.502999
48,3,-10,5,planar,44,1.917134,-0.245830,-2.098581,1.079234,-1.506511
49,7,-2,2,planar,45,1.643252,-0.436211,-1.734474,1.046077,-1.573510
50,8,13,-1,planar,25,1.833951,-0.322428,-2.074549,1.096104,-1.659130
51,-2,14,8,planar,38,1.707357,0.230336,-2.279461,1.348886,-1.690654
52,-10,5,10,planar,29,2.475242,-0.219122,-2.345015,1.647621,-1.736516
53,4,6,5,corner_like,60,-4.013878,0.853833,1.581715,0.216169,-1.794499
54,7,-1,2,planar,107,0.120307,0.484824,-1.710234,0.744767,-1.849870
55,8,3,-2,corner_like,80,-4.498345,0.907651,1.890164,0.150000,-1.850530
56,-7,13,10,planar,16,1.715979,-0.570358,-1.892325,1.116470,-1.863174
57,-1,14,8,linear,24,-1.394895,0.910227,-0.546399,0.844309,-1.875375
58,-11,9,10,linear,22,-0.474150,-0.009075,-0.525803,0.899970,-1.908998
59,-12,8,10,planar,18,1.476666,-0.202954,-2.070332,1.120193,-1.916813
60,-5,-14,10,linear,19,0.000852,-0.379384,-0.686569,0.887418,-1.952519
61,6,-3,-2,planar,38,0.723903,0.099454,-1.958242,0.895130,-2.030015
62,8,13,0,planar,17,1.544464,-0.590720,-1.933612,1.066517,-2.046385
63,15,-2,-1,linear,21,-0.403460,-0.250376,-0.501483,0.900000,-2.055320
64,6,17,0,planar,23,1.825062,-0.368434,-2.216623,1.298549,-2.058546
65,-7,-10,10,planar,34,1.406872,-0.379264,-2.093562,1.088910,-2.154864
66,-11,3,10,planar,45,1.075359,0.078604,-2.190186,1.139470,-2.175693
67,-7,10,10,planar,24,1.175167,-0.401981,-1.861523,1.114670,-2.203006
68,7,4,2,planar,25,1.070042,-0.438407,-1.867945,0.999102,-2.235413
69,4,-4,5,planar,135,0.781849,-0.232135,-1.981805,0.812008,-2.244099
70,-8,8,10,planar,21,1.091288,-0.337542,-1.932720,1.085460,-2.264434
71,6,-13,0,planar,23,1.874387,0.200259,-2.493998,1.867533,-2.286885
72,6,-13,-2,planar,17,1.383186,-0.569699,-2.017618,1.084351,-2.288482
73,-7,8,10,planar,24,1.911096,-0.483038,-2.252868,1.470696,-2.295506
74,-13,5,10,planar,23,1.535336,-0.300857,-2.249291,1.311858,-2.326671
75,-10,4,10,planar,34,1.682239,0.042690,-2.400467,1.653139,-2.328675
76,-6,10,10,planar,20,1.078673,-0.327480,-2.003791,1.096366,-2.348964
77,-12,3,10,linear,27,-0.454990,-0.243939,-0.795821,0.896735,-2.391485
78,-12,4,10,planar,32,1.569191,-0.074581,-2.351029,1.539233,-2.395651
79,-6,9,10,planar,29,0.879022,-0.282263,-1.891714,1.114657,-2.409611
80,0,-10,5,planar,95,1.039384,-0.302279,-2.084453,1.084442,-2.431790
81,-9,8,10,planar,21,1.300355,-0.545596,-2.120021,1.089047,-2.454308
82,7,-4,3,corner_like,35,-5.974618,2.853219,1.080636,0.418580,-2.459344
83,3,-5,5,planar,58,1.911535,-0.167736,-2.431930,1.791418,-2.479548
84,-13,9,10,linear,16,-0.785892,-0.290214,-0.515967,0.899968,-2.492041
85,-11,1,10,planar,36,0.843953,-0.240890,-1.989560,1.118057,-2.504554
86,3,-9,5,planar,28,1.800962,0.001703,-2.520430,1.857031,-2.574797
87,2,-7,5,planar,44,-0.075461,0.493880,-1.966113,1.037207,-2.584902
88,2,-12,5,linear,16,-1.904332,0.793099,-0.624678,0.894609,-2.630520
89,-12,5,10,linear,21,-1.194731,-0.071571,-0.506308,0.899945,-2.672554
90,1,-6,5,corner_like,75,-5.243203,1.333034,1.448632,0.214673,-2.676209
91,8,11,-2,planar,26,0.623025,-0.248894,-1.992933,1.118435,-2.737236
92,3,-8,5,planar,42,1.500004,-0.218163,-2.404258,1.674933,-2.797350
93,-5,13,10,planar,22,0.057305,0.039812,-1.799646,1.107398,-2.809928
94,6,-13,-1,planar,24,1.492863,0.133578,-2.579718,1.872113,-2.825390
95,-3,14,4,planar,50,1.137105,-0.291976,-2.265666,1.431143,-2.851679
96,2,-13,5,linear,33,-1.647326,0.401946,-0.734060,0.892231,-2.871671
97,4,-6,5,planar,64,-0.273735,0.035293,-1.813916,0.819463,-2.871821
98,7,-3,5,planar,52,-0.429247,0.207442,-1.649074,1.006307,-2.877186
99,-10,-5,10,planar,21,1.009180,-0.244180,-2.293497,1.388519,-2.917016
100,-3,10,10,planar,40,0.312151,-0.284979,-1.871567,1.116388,-2.960784
101,4,-10,5,planar,30,1.008282,-0.263821,-2.367530,1.352757,-2.975826
102,4,-5,5,planar,85,-0.107049,0.062303,-1.975046,0.987632,-3.007423
103,-4,10,10,planar,41,1.568934,-0.240876,-2.498488,1.839531,-3.009962
104,4,4,5,planar,96,-0.099872,0.011637,-2.049096,0.883405,-3.020736
105,-5,9,10,planar,45,0.953844,-0.365032,-2.266869,1.343872,-3.021930
106,0,-10,6,planar,63,0.010347,-0.001599,-1.941612,1.109669,-3.042532
