vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-23,-8,0,-22.500000,-7.500000,0.500000,19,planar,0.090771,0.069614,0.000346,0.233085,0.763100,0.003815,0.996185,0.012983,2.114699,13.025795,0.380526,-10.911096,0.400358,2.123914,1.360892,1.723556
-23,-7,0,-22.500000,-6.500000,0.500000,19,planar,0.121911,0.068535,0.000153,0.437833,0.560914,0.001252,0.998748,0.010846,1.998897,18.651414,0.411487,-16.652517,0.469064,2.369120,1.423020,1.900056
-23,-6,0,-22.500000,-5.500000,0.500000,18,planar,0.083550,0.069191,0.000119,0.171855,0.826720,0.001425,0.998575,0.008829,1.964744,18.760582,0.367994,-16.795839,0.581857,2.299617,1.581857,1.717760
-13,-7,8,-12.500000,-6.500000,8.500000,21,planar,0.107561,0.055736,0.000688,0.481822,0.511785,0.006392,0.993608,0.016033,2.267221,1.060683,0.345665,1.206538,0.342824,0.055055,1.070352,-0.287769
-12,-7,8,-11.500000,-6.500000,8.500000,17,planar,0.077791,0.055834,0.001752,0.282253,0.695231,0.022516,0.977484,0.019668,2.452971,1.948624,0.336023,0.504347,0.535925,0.566251,1.535925,0.030326
-12,4,8,-11.500000,4.500000,8.500000,24,planar,0.118571,0.036952,0.004029,0.688355,0.277663,0.033982,0.966018,0.026038,2.651181,1.416102,0.368941,1.235079,0.799557,0.568466,1.799557,-0.231091
-12,7,8,-11.500000,7.500000,8.500000,19,linear,0.152729,0.030748,0.000152,0.798673,0.200332,0.000995,0.999005,0.008937,1.983723,5.841660,0.415796,-3.857937,0.658189,0.789254,1.658189,0.131065
-11,-8,8,-10.500000,-7.500000,8.500000,15,linear,0.059676,0.003399,0.000001,0.943045,0.056946,0.000009,0.999991,0.000477,1.639609,12.025728,0.222787,-10.386119,0.298452,2.354193,1.140209,2.055742
-11,-7,8,-10.500000,-6.500000,8.500000,17,planar,0.086557,0.058988,0.001019,0.318508,0.669716,0.011775,0.988225,0.017329,2.330987,0.603786,0.328495,1.727201,0.587188,0.286916,1.303393,-0.300272
-11,-6,8,-10.500000,-5.500000,8.500000,22,planar,0.097983,0.024525,0.000128,0.749703,0.248991,0.001306,0.998694,0.006749,1.970307,1.750358,0.323792,0.219949,0.397195,0.639136,1.361300,0.241941
-11,-5,8,-10.500000,-4.500000,8.500000,18,planar,0.080261,0.040416,0.000337,0.496440,0.499367,0.004193,0.995807,0.010296,2.092254,3.343813,0.288371,-1.251559,0.451437,0.461670,1.126848,0.010233
-11,3,8,-10.500000,3.500000,8.500000,23,linear,0.083829,0.018110,0.000353,0.783969,0.211824,0.004206,0.995794,0.008120,2.101072,26.975548,0.271101,-24.874476,0.664878,4.522926,1.437786,3.858047
-11,4,8,-10.500000,4.500000,8.500000,22,planar,0.100279,0.058589,0.000337,0.415742,0.580901,0.003357,0.996643,0.012553,2.124063,10.126959,0.374204,-8.002896,0.425386,1.740052,1.391761,1.314666
-10,-11,8,-9.500000,-10.500000,8.500000,15,planar,0.112221,0.071461,0.000692,0.363208,0.630626,0.006166,0.993834,0.017704,2.227237,0.599571,0.369649,1.627666,0.460948,0.231237,1.244978,-0.229711
-10,-7,8,-9.500000,-6.500000,8.500000,30,planar,0.112104,0.085397,0.001798,0.238230,0.745728,0.016041,0.983959,0.025821,2.534816,0.152210,0.392609,2.382606,0.838010,0.500862,1.654782,-0.337148
-10,-6,8,-9.500000,-5.500000,8.500000,37,planar,0.088309,0.071825,0.000416,0.186671,0.808622,0.004707,0.995293,0.013814,2.207362,0.849358,0.380824,1.358003,0.392051,0.102057,1.328248,-0.289994
-10,-5,8,-9.500000,-4.500000,8.500000,44,planar,0.091852,0.064578,0.000153,0.296933,0.701405,0.001663,0.998337,0.009676,2.058602,0.038831,0.378365,2.019771,0.241712,0.831958,1.183586,0.590246
