rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,6,13,0,volumetric,36,2.835336,0.412279,1.318980,0.132549,4.434046
1,4,-3,-1,volumetric,193,2.785246,0.235585,1.350097,0.199947,4.170980
2,4,-1,-1,corner_like,310,2.601651,-0.038135,0.912959,0.196657,3.279818
3,6,14,1,corner_like,26,2.641705,0.085992,0.776490,0.270888,3.233299
4,6,2,2,corner_like,161,2.762012,0.145481,0.644436,0.354662,3.197267
5,4,-2,-1,volumetric,168,2.395232,-0.033888,1.083355,0.486083,2.958617
6,6,-2,1,corner_like,275,2.879421,0.441295,0.191258,0.593394,2.918580
7,6,3,2,corner_like,154,2.653074,-0.088009,0.619811,0.351833,2.833043
8,6,5,2,volumetric,58,2.172327,-0.341699,1.019555,0.179061,2.671122
9,6,0,2,corner_like,147,2.253954,-0.012049,0.599817,0.221404,2.620320
10,1,-1,-2,corner_like,1646,1.960966,-0.239358,1.019528,0.217410,2.523726
11,6,-2,0,corner_like,160,2.104318,-0.123364,0.721290,0.198831,2.503413
12,6,-3,1,corner_like,276,2.803596,0.265624,0.006749,0.628945,2.447024
13,6,12,-1,corner_like,35,2.575320,0.076118,0.092861,0.560220,2.184078
14,6,1,2,corner_like,206,2.683688,0.218160,-0.058263,0.687923,2.155662
15,6,-4,2,corner_like,123,2.416321,-0.080621,0.227355,0.410627,2.152429
16,6,-2,2,volumetric,201,2.289798,-0.110420,0.365272,0.446159,2.098491
17,6,-1,2,corner_like,141,2.038183,-0.134750,0.451247,0.292924,2.061756
18,6,6,2,corner_like,60,2.121384,-0.204598,0.398543,0.344801,1.970528
19,6,-3,0,corner_like,288,2.441887,0.037506,-0.023707,0.632977,1.822709
20,6,4,2,corner_like,149,2.083900,-0.180833,0.259120,0.372733,1.789454
21,6,-3,2,corner_like,169,2.290833,-0.589570,0.399856,0.320815,1.780304
22,6,8,2,corner_like,38,1.648937,-0.497797,0.795565,0.191866,1.754840
23,6,7,2,volumetric,35,1.004453,-0.236814,1.115927,0.231046,1.652519
24,6,3,-1,corner_like,213,2.185997,-0.000924,0.050975,0.584978,1.651070
25,6,-2,3,corner_like,197,1.951188,-0.041767,0.074435,0.627716,1.356140
26,6,2,-1,corner_like,272,2.439848,-0.050945,-0.280448,0.826474,1.281981
27,6,4,-1,corner_like,204,2.253878,-0.000386,-0.299895,0.840997,1.112600
28,1,-8,4,corner_like,121,0.628149,0.127885,0.476004,0.234054,0.997983
29,6,-2,-1,corner_like,68,0.446755,-0.107317,0.745707,0.275631,0.809513
30,6,5,0,corner_like,115,0.739882,0.168664,0.333424,0.439406,0.802564
31,6,-7,2,corner_like,57,-0.202495,0.553459,0.702017,0.265448,0.787533
32,6,-9,1,corner_like,50,0.300576,-0.166659,0.394234,0.308721,0.219430
33,2,7,-2,linear,44,1.891897,0.515054,-0.622416,1.798878,-0.014343
34,-6,11,3,linear,33,2.090394,0.195671,-0.566816,1.760825,-0.041576
35,-8,-8,8,planar,24,2.467679,-0.079791,-1.338246,1.381321,-0.331680
36,3,15,3,linear,33,2.002997,-0.455611,-0.362533,1.527343,-0.342489
37,0,-7,-2,linear,54,1.918047,0.133232,-0.660049,1.797929,-0.406699
38,6,-3,-1,corner_like,184,-0.027718,-0.150239,0.270237,0.569285,-0.477005
39,-7,11,3,linear,24,1.890515,-0.128650,-0.476430,1.787034,-0.501599
40,-1,-11,8,planar,31,2.297167,0.424947,-1.398390,2.207994,-0.884270
41,3,-5,4,corner_like,96,-1.381671,0.155959,0.427853,0.293229,-1.091089
42,-8,-7,8,planar,34,2.552528,0.287681,-1.864226,2.123363,-1.147381
43,-2,-11,8,planar,36,2.186065,0.568617,-1.772851,2.230367,-1.248536
44,2,6,-2,planar,64,1.947717,0.553236,-1.599173,2.248597,-1.346817
45,-1,-9,-2,linear,36,0.817730,-0.086344,-0.296789,1.799980,-1.365383
46,6,-1,1,planar,153,1.625116,-0.379029,-1.208461,1.439198,-1.401572
47,-5,-8,8,planar,63,2.378941,-0.309324,-1.770326,1.825658,-1.526366
48,1,0,-2,planar,1343,2.107231,-0.589024,-1.333359,1.711814,-1.526966
49,-6,-7,8,planar,67,1.980189,0.336708,-1.764636,2.239911,-1.687650
50,-7,-8,8,planar,47,2.347275,-0.238739,-1.811958,2.046622,-1.750045
51,-4,-8,8,linear,47,0.529016,-0.075107,-0.475427,1.748685,-1.770203
52,6,-6,2,corner_like,57,-2.873240,0.642635,0.669379,0.276234,-1.837460
53,-6,-8,8,planar,59,2.198510,-0.143387,-1.848438,2.084665,-1.877980
54,12,-1,-1,linear,24,-0.757915,0.887367,-0.286426,1.733605,-1.890578
55,-9,-3,8,planar,56,2.161980,0.158805,-1.958385,2.295770,-1.933370
56,6,5,-1,planar,110,1.287938,-0.449069,-1.324376,1.519736,-2.005242
57,-3,-11,8,linear,23,0.815285,-0.629682,-0.424051,1.782380,-2.020828
58,6,4,1,planar,212,2.534593,0.000577,-2.078967,2.636007,-2.179805
59,6,-5,2,planar,93,0.778354,-0.064473,-1.576083,1.325112,-2.187314
60,-5,11,3,planar,49,2.437178,0.073755,-2.033048,2.673449,-2.195563
61,-8,-6,8,planar,49,2.506183,0.381423,-2.164459,2.949004,-2.225857
62,-9,-6,8,planar,35,2.067452,0.244509,-2.047650,2.591294,-2.326983
63,-12,4,8,planar,24,1.235079,-0.147358,-1.409452,2.065961,-2.387691
64,-7,-7,8,planar,62,2.491674,0.413427,-2.208318,3.143755,-2.446973
65,0,-5,-2,planar,220,1.883999,0.537744,-2.120123,2.792309,-2.490690
66,6,6,0,planar,90,2.084648,-0.137551,-1.971368,2.483902,-2.508173
67,-1,-8,-2,linear,43,-0.158711,-0.349666,-0.287279,1.799968,-2.595625
68,6,1,3,planar,187,2.384408,0.052129,-2.110407,2.968605,-2.642474
69,-5,-11,8,planar,25,1.629629,-0.528304,-1.611362,2.160159,-2.670196
