rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,-4,-2,corner_like,135,2.831631,0.100660,0.000000,0.000000,2.932291
1,-9,-10,10,planar,26,2.636636,-0.293443,0.000000,0.000000,2.343193
2,7,3,-2,corner_like,72,2.697826,-0.393027,0.000000,0.000000,2.304799
3,-9,12,10,planar,17,2.028340,0.228060,0.000000,0.000000,2.256400
4,5,-5,-2,volumetric,88,2.625971,-0.370562,0.000000,0.000000,2.255408
5,-6,-10,10,planar,38,2.536938,-0.342031,0.000000,0.000000,2.194907
6,-8,-10,10,planar,36,2.501399,-0.420626,0.000000,0.000000,2.080773
7,5,-3,-2,corner_like,138,2.414975,-0.549873,0.000000,0.000000,1.865102
8,-10,5,10,planar,29,2.475242,-0.645665,0.000000,0.000000,1.829578
9,-11,4,10,planar,35,2.121766,-0.296482,0.000000,0.000000,1.825285
10,6,18,1,planar,21,2.228395,-0.406737,0.000000,0.000000,1.821658
11,6,-4,-2,planar,41,2.101778,-0.343024,0.000000,0.000000,1.758754
12,6,-13,0,planar,23,1.874387,-0.140016,0.000000,0.000000,1.734372
13,3,-6,5,planar,54,2.248237,-0.540058,0.000000,0.000000,1.708178
14,-2,14,8,planar,38,1.707357,-0.191694,0.000000,0.000000,1.515662
15,3,-9,5,planar,28,1.800962,-0.349936,0.000000,0.000000,1.451027
16,-8,11,10,planar,20,1.775752,-0.370267,0.000000,0.000000,1.405485
17,3,-5,5,planar,58,1.911535,-0.557099,0.000000,0.000000,1.354436
18,-10,4,10,planar,34,1.682239,-0.342275,0.000000,0.000000,1.339965
19,-12,8,10,planar,18,1.476666,-0.176962,0.000000,0.000000,1.299703
20,6,-13,-1,planar,24,1.492863,-0.224939,0.000000,0.000000,1.267924
21,6,17,0,planar,23,1.825062,-0.562976,0.000000,0.000000,1.262086
22,4,-9,5,planar,26,2.010481,-0.749058,0.000000,0.000000,1.261423
23,5,-1,-1,corner_like,240,1.981447,-0.770549,0.000000,0.000000,1.210898
24,7,-2,2,planar,45,1.643252,-0.448253,0.000000,0.000000,1.194999
25,7,-4,2,planar,70,2.043184,-0.915118,0.000000,0.000000,1.128066
26,-5,-10,10,planar,39,1.711591,-0.592612,0.000000,0.000000,1.118979
27,3,-10,5,planar,44,1.917134,-0.811796,0.000000,0.000000,1.105338
28,-7,11,10,linear,15,1.555266,-0.510135,0.000000,0.000000,1.045131
29,-12,4,10,planar,32,1.569191,-0.526882,0.000000,0.000000,1.042309
30,-7,8,10,planar,24,1.911096,-0.885025,0.000000,0.000000,1.026071
31,-7,13,10,planar,16,1.715979,-0.752702,0.000000,0.000000,0.963276
32,3,-8,5,planar,42,1.500004,-0.572074,0.000000,0.000000,0.927930
33,-7,-10,10,planar,34,1.406872,-0.499314,0.000000,0.000000,0.907558
34,-11,3,10,planar,45,1.075359,-0.170103,0.000000,0.000000,0.905255
35,4,-8,5,planar,41,1.639161,-0.750166,0.000000,0.000000,0.888995
36,8,13,-1,planar,25,1.833951,-0.947816,0.000000,0.000000,0.886135
37,4,-13,5,planar,28,1.933198,-1.047255,0.000000,0.000000,0.885943
38,-4,10,10,planar,41,1.568934,-0.685248,0.000000,0.000000,0.883685
39,2,0,-2,corner_like,1132,1.359549,-0.502005,0.000000,0.000000,0.857545
40,1,-10,5,corner_like,91,1.444110,-0.604389,0.000000,0.000000,0.839721
41,-13,5,10,planar,23,1.535336,-0.731377,0.000000,0.000000,0.803959
42,6,-3,-2,planar,38,0.723903,0.079266,0.000000,0.000000,0.803169
43,-9,8,10,planar,21,1.300355,-0.498732,0.000000,0.000000,0.801623
44,7,-2,5,corner_like,80,1.424026,-0.638463,0.000000,0.000000,0.785563
45,-1,-10,6,linear,28,1.245557,-0.466629,0.000000,0.000000,0.778928
46,8,13,0,planar,17,1.544464,-0.769590,0.000000,0.000000,0.774874
47,-3,14,4,planar,50,1.137105,-0.373279,0.000000,0.000000,0.763826
48,0,-10,5,planar,95,1.039384,-0.284346,0.000000,0.000000,0.755039
49,2,-10,5,planar,57,1.242164,-0.541369,0.000000,0.000000,0.700795
50,7,-1,2,planar,107,0.120307,0.575608,0.000000,0.000000,0.695915
